stateID,cityName
16,Mandya
16,Mangaluru
16,Manvi
16,Mudalagi
16,Mudabidri
16,Muddebihal
16,Mudhol
16,Mulbagal
16,Mundargi
16,Nanjangud
16,Nargund
16,Navalgund
16,Nelamangala
16,Pavagada
16,Piriyapatna
16,Puttur
16,"Rabkavi Banhatti"
16,Raayachuru
16,Ranebennuru
16,Ramanagaram
16,Ramdurg
16,Ranibennur
16,"Robertson Pet"
16,Ron
16,Sadalagi
16,Sagara
16,Sakaleshapura
16,Sindagi
16,Sanduru
16,Sankeshwara
16,Saundatti-Yellamma
16,Savanur
16,Sedam
16,Shahabad
16,Shahpur
16,Shiggaon
16,Shikaripur
16,Shivamogga
16,Surapura
16,Shrirangapattana
16,Sidlaghatta
16,Sindhagi
16,Sindhnur
16,Sira
16,Sirsi
16,Siruguppa
16,Srinivaspur
16,Tarikere
16,Tekkalakote
16,Terdal
16,Talikota
16,Tiptur
16,Tumkur
16,Udupi
16,Vijayapura
16,Wadi
16,Yadgir
17,Adoor
17,Alappuzha
17,Attingal
17,Chalakudy
17,Changanassery
17,Cherthala
17,Chittur-Thathamangalam
17,Guruvayoor
17,Kanhangad
17,Kannur
17,Kasaragod
17,Kayamkulam
17,Kochi
17,Kodungallur
17,Kollam
17,Kottayam
17,Kozhikode
17,Kunnamkulam
17,Malappuram
17,Mattannur
17,Mavelikkara
17,Mavoor
17,Muvattupuzha
17,Nedumangad
17,Neyyattinkara
17,Nilambur
17,Ottappalam
17,Palai
17,Palakkad
17,Panamattom
17,Panniyannur
17,Pappinisseri
17,Paravoor
17,Pathanamthitta
17,Peringathur
17,Perinthalmanna
17,Perumbavoor
17,Ponnani
17,Punalur
17,Puthuppally
17,Koyilandy
17,Shoranur
17,Taliparamba
17,Thiruvalla
17,Thiruvananthapuram
17,Thodupuzha
17,Thrissur
17,Tirur
17,Vaikom
17,Varkala
17,Vatakara
18,Alirajpur
18,"Ashok Nagar"
18,Balaghat
18,Bhopal
18,Ganjbasoda
18,Gwalior
18,Indore
18,Itarsi
18,Jabalpur
18,Lahar
18,Maharajpur
18,Mahidpur
18,Maihar
18,"Malaj Khand"
18,Manasa
18,Manawar
18,Mandideep
18,Mandla
18,Mandsaur
18,Mauganj
18,"Mhow Cantonment"
18,Mhowgaon
18,Morena
18,Multai
18,Mundi
18,"Murwara (Katni)"
18,Nagda
18,Nainpur
18,Narsinghgarh
18,Narsinghgarh
18,Neemuch
18,Nepanagar
18,Niwari
18,Nowgong
18,"Nowrozabad (Khodargama)"
18,Pachore
18,Pali
18,Panagar
18,Pandhurna
18,Panna
18,Pasan
18,Pipariya
18,Pithampur
18,Porsa
18,Prithvipur
18,Raghogarh-Vijaypur
18,Rahatgarh
18,Raisen
18,Rajgarh
18,Ratlam
18,Rau
18,Rehli
18,Rewa
18,Sabalgarh
18,Sagar
18,Sanawad
18,Sarangpur
18,Sarni
18,Satna
18,Sausar
18,Sehore
18,Sendhwa
18,Seoni
18,Seoni-Malwa
18,Shahdol
18,Shajapur
18,Shamgarh
18,Sheopur
18,Shivpuri
18,Shujalpur
18,Sidhi
18,Sihora
18,Singrauli
18,Sironj
18,Sohagpur
18,Tarana
18,Tikamgarh
18,Ujjain
18,Umaria
18,Vidisha
18,Vijaypur
18,"Wara Seoni"
19,Ahmednagar
19,Akola
19,Akot
19,Amalner
19,Ambejogai
19,Amravati
19,Anjangaon
19,Arvi
19,Aurangabad
19,Bhiwandi
19,Dhule
19,Kalyan-Dombivali
19,Ichalkaranji
19,Kalyan-Dombivali
19,Karjat
19,Latur
19,Loha
19,Lonar
19,Lonavla
19,Mahad
19,Malegaon
19,Malkapur
19,Mangalvedhe
19,Mangrulpir
19,Manjlegaon
19,Manmad
19,Manwath
19,Mehkar
19,Mhaswad
19,Mira-Bhayandar
19,Morshi
19,Mukhed
19,Mulshi
19,Mumbai
19,Murtijapur
19,Nagpur
19,Nanded-Waghala
19,Nandgaon
19,Nandura
19,Nandurbar
19,Narkhed
19,Nashik
19,"Navi Mumbai"
19,Nawapur
19,Nilanga
19,Osmanabad
19,Ozar
19,Pachora
19,Paithan
19,Palghar
19,Pandharkaoda
19,Pandharpur
19,Panvel
19,Parbhani
19,Parli
19,Partur
19,Pathardi
19,Pathri
19,Patur
19,Pauni
19,Pen
19,Phaltan
19,Pulgaon
19,Pune
19,Purna
19,Pusad
19,Rahuri
19,Rajura
19,Ramtek
19,Ratnagiri
19,Raver
19,Risod
19,Sailu
19,Sangamner
19,Sangli
19,Sangole
19,Sasvad
19,Satana
19,Satara
19,Savner
19,Sawantwadi
19,Shahade
19,Shegaon
19,Shendurjana
19,Shirdi
19,Shirpur-Warwade
19,Shirur
19,Shrigonda
19,Shrirampur
19,Sillod
19,Sinnar
19,Solapur
19,Soyagaon
19,"Talegaon Dabhade"
19,Talode
19,Tasgaon
19,Thane
19,Tirora
19,Tuljapur
19,Tumsar
19,Uchgaon
19,Udgir
19,Umarga
19,Umarkhed
19,Umred
19,Uran
19,"Uran Islampur"
19,"Vadgaon Kasba"
19,Vaijapur
19,Vasai-Virar
19,Vita
19,"Wadgaon Road"
19,Wai
19,Wani
19,Wardha
19,Warora
19,Warud
19,Washim
19,Yavatmal
19,Yawal
19,Yevla
20,Imphal
20,Lilong
20,"Mayang Imphal"
20,Thoubal
21,Nongstoin
21,Shillong
21,Tura
22,Aizawl
22,Lunglei
22,Saiha
23,Dimapur
23,Kohima
23,Mokokchung
23,Tuensang
23,Wokha
23,Zunheboto
24,Balangir
24,"Baleshwar Town"
24,Barbil
24,Bargarh
24,"Baripada Town"
24,Bhadrak
24,Bhawanipatna
24,Bhubaneswar
24,Brahmapur
24,Byasanagar
24,Cuttack
24,Dhenkanal
24,Jatani
24,Jharsuguda
24,Kendrapara
24,Kendujhar
24,Malkangiri
24,Nabarangapur
24,Paradip
24,Parlakhemundi
24,Pattamundai
24,Phulabani
24,Puri
24,Rairangpur
24,Rajagangapur
24,Raurkela
24,Rayagada
24,Sambalpur
24,Soro
24,Sunabeda
24,Sundargarh
24,Talcher
24,Tarbha
24,Titlagarh
25,Karaikal
25,Mahe
25,Pondicherry
25,Yanam
26,Amritsar
26,Barnala
26,Batala
26,Bathinda
26,Dhuri
26,Faridkot
26,Fazilka
26,Firozpur
26,"Firozpur Cantt."
26,Gobindgarh
26,Gurdaspur
26,Hoshiarpur
26,Jagraon
26,"Jalandhar Cantt."
26,Jalandhar
26,Kapurthala
26,Khanna
26,Kharar
26,"Kot Kapura"
26,Longowal
26,Ludhiana
26,Malerkotla
26,Malout
26,Mansa
26,Moga
26,Mohali
26,"Morinda, India"
26,Mukerian
26,Muktsar
26,Nabha
26,Nakodar
26,Nangal
26,Nawanshahr
26,Pathankot
26,Patiala
26,Pattran
26,Patti
26,Phagwara
26,Phillaur
26,Qadian
26,Raikot
26,Rajpura
26,"Rampura Phul"
26,Rupnagar
26,Samana
26,Sangrur
26,"Sirhind Fatehgarh Sahib"
26,Sujanpur
26,Sunam
26,Talwara
26,"Tarn Taran"
26,"Urmar Tanda"
26,Zira
26,Zirakpur
27,Ajmer
27,Alwar
27,Bikaner
27,Bharatpur
27,Bhilwara
27,Jaipur
27,Jodhpur
27,Lachhmangarh
27,Ladnu
27,Lakheri
27,Lalsot
27,Losal
27,Makrana
27,Malpura
27,Mandalgarh
27,Mandawa
27,Mangrol
27,"Merta City"
27,"Mount Abu"
27,Nadbai
27,Nagar
27,Nagaur
27,Nasirabad
27,Nathdwara
27,Neem-Ka-Thana
27,Nimbahera
27,Nohar
27,Nokha
27,Pali
27,Phalodi
27,Phulera
27,Pilani
27,Pilibanga
27,Pindwara
27,"Pipar City"
27,Prantij
27,Pratapgarh
27,Raisinghnagar
27,Rajakhera
27,Rajaldesar
27,"Rajgarh (Alwar)"
27,"Rajgarh (Churu)"
27,Rajsamand
27,"Ramganj Mandi"
27,Ramngarh
27,Ratangarh
27,Rawatbhata
27,Rawatsar
27,Reengus
27,Sadri
27,Sadulshahar
27,Sadulpur
27,Sagwara
27,Sambhar
27,Sanchore
27,Sangaria
27,Sardarshahar
27,"Sawai Madhopur"
27,Shahpura
27,Shahpura
27,Sheoganj
27,Sikar
27,Sirohi
27,Sojat
27,"Sri Madhopur"
27,Sujangarh
27,Sumerpur
27,Suratgarh
27,Taranagar
27,Todabhim
27,Todaraisingh
27,Tonk
27,Udaipur
27,Udaipurwati
27,"Vijainagar, Ajmer"
28,Arakkonam
28,Aruppukkottai
28,Chennai
28,Coimbatore
28,Erode
28,Gobichettipalayam
28,Kancheepuram
28,Karur
28,Lalgudi
28,Madurai
28,Manachanallur
28,Nagapattinam
28,Nagercoil
28,Namagiripettai
28,Namakkal
28,Nandivaram-Guduvancheri
28,Nanjikottai
28,Natham
28,Nellikuppam
28,"Neyveli (TS)"
28,"O' Valley"
28,Oddanchatram
28,P.N.Patti
28,Pacode
28,Padmanabhapuram
28,Palani
28,Palladam
28,Pallapatti
28,Pallikonda
28,Panagudi
28,Panruti
28,Paramakudi
28,Parangipettai
28,Pattukkottai
28,Perambalur
28,Peravurani
28,Periyakulam
28,Periyasemur
28,Pernampattu
28,Pollachi
28,Polur
28,Ponneri
28,Pudukkottai
28,Pudupattinam
28,Puliyankudi
28,Punjaipugalur
28,Ranipet
28,Rajapalayam
28,Ramanathapuram
28,Rameshwaram
28,Rasipuram
28,Salem
28,Sankarankoil
28,Sankari
28,Sathyamangalam
28,Sattur
28,Shenkottai
28,Sholavandan
28,Sholingur
28,Sirkali
28,Sivaganga
28,Sivagiri
28,Sivakasi
28,Srivilliputhur
28,Surandai
28,Suriyampalayam
28,Tenkasi
28,Thammampatti
28,Thanjavur
28,Tharamangalam
28,Tharangambadi
28,"Theni Allinagaram"
28,Thirumangalam
28,Thirupuvanam
28,Thiruthuraipoondi
28,Thiruvallur
28,Thiruvarur
28,Thuraiyur
28,Tindivanam
28,Tiruchendur
28,Tiruchengode
28,Tiruchirappalli
28,Tirukalukundram
28,Tirukkoyilur
28,Tirunelveli
28,Tirupathur
28,Tirupathur
28,Tiruppur
28,Tiruttani
28,Tiruvannamalai
28,Tiruvethipuram
28,Tittakudi
28,Udhagamandalam
28,Udumalaipettai
28,Unnamalaikadai
28,Usilampatti
28,Uthamapalayam
28,Uthiramerur
28,Vadakkuvalliyur
28,Vadalur
28,Vadipatti
28,Valparai
28,Vandavasi
28,Vaniyambadi
28,Vedaranyam
28,Vellakoil
28,Vellore
28,Vikramasingapuram
28,Viluppuram
28,Virudhachalam
28,Virudhunagar
28,Viswanatham
29,Adilabad
29,Bellampalle
29,Bhadrachalam
29,Bhainsa
29,Bhongir
29,Bodhan
29,Farooqnagar
29,Gadwal
29,Hyderabad
29,Jagtial
29,Jangaon
29,Kagaznagar
29,Kamareddy
